episode_id,instruction,run_id,runtime,sim_step_count,task_percent_complete,task_state_success
1701,Move the vase and the picture frame from the table in the living room to the shelves in the living room. Clean the living room table.,0,26.889806985855103,981.0,1.0,1.0
1697,"Move the jug, pitcher, and vase from the bedroom to the kitchen, fill the jug with water, and clean the bedroom table.",0,35.9433856010437,1213.0,1.0,1.0
1704,Move the plant container and the plant saucer from the table in the living room to the shelves in the living room. Water the plant.,0,47.349822998046875,1758.0,0.5,0.0
1988,NOTE: JSON INCORRECT. OBJECT INITIALIZATION INCORRECT 'cabinet_0' not in kitchen.,0,279.7651026248932,7224.0,0.6666666666666666,0.0
1981,"Move the kettle, jug, and teapot from the dining room table to the kitchen and fill the kettle with water. Turn on the lamp, and clean the dining room table.",0,81.4735918045044,2358.0,0.6666666666666666,0.0
1989,NOTE: JSON INCORRECT. OBJECT INITIALIZATION INCORRECT 'cabinet_0' not in kitchen.,0,446.7121250629425,9431.0,0.5882352941176471,0.0
1999,Move the basket and bottle from the living room table to the kitchen and fill the bottle with water. Clean the living room table.,0,39.142059564590454,1250.0,0.75,0.0
1997,Move the bowl and spoon from the kitchen counter to the dining room table and clean the kitchen counter.,0,19.44416356086731,623.0,1.0,1.0
444,Let me clean the shoes in the chest of drawers. They can all be moved to the entryway once clean.,0,83.78080487251282,2502.0,1.0,1.0
1990,"Move the book, folder, and laptop from the living room tables to the bedroom counter and turn on the lamp. Clean the living room tables.",0,39.857640981674194,1283.0,1.0,1.0
1993,"Move the jug and pitcher from the counter to the living room. Fill the pitcher with water, then clean the counter.",0,38.60894155502319,1259.0,0.75,0.0
1907,"Move the jug, kettle, and pitcher from the kitchen to a table and fill the jug with water. Turn off the lamp, and clean the kitchen cabinet.",0,21.13193941116333,1108.0,0.8333333333333334,0.0
1956,"Move the laptop, mouse pad, and book from the table to the living room and clean the living room table.",0,30.27229070663452,1695.0,1.0,1.0
1954,"Move the cup, plate, and spoon from the living room table to the kitchen and clean the living room table.",0,17.26085376739502,968.0,1.0,1.0
1960,"Move the jug, teapot, and kettle to the kitchen and fill all with water. Turn on the lamp, and clean the dining table.",0,50.117780923843384,2662.0,0.625,0.0
1958,Move the vase and the picture frame from the living room table to the bedroom table. Clean the living room table.,0,16.726015329360962,859.0,1.0,1.0
1756,"Move the fork, knife, and spoon from the bedroom bench to the kitchen and clean the bedroom bench.",0,27.56550645828247,1658.0,1.0,1.0
1760,"Move the jug, teapot, and cup from the dining table to the kitchen counter, fill all with water. Turn off the lamp, and clean the dining table.",0,28.36539316177368,1504.0,0.875,0.0
1761,"Move the kettle, milk frother cup, and spoon from the living room table to the kitchen counter, fill the kettle with water. Turn off the lamp, and clean the living room table.",0,18.93350100517273,1052.0,0.8333333333333334,0.0
1762,"Move the bowl, plate, and fork from the dining table to the kitchen counter, clean the dining table.",0,14.66395878791809,872.0,1.0,1.0
1663,"Move the toy food, toy fire truck, and stuffed toy from the bedroom to the garage. Clean the bedroom table, and turn off the lamp.",0,43.06555509567261,931.0,0.0,0.0
1751,"Move the vase, candle holder, and statue from the table to the living room shelves. Clean the living room table.",0,17.193989992141724,891.0,1.0,1.0
1744,"Move the vase, candle holder, and book from the office table to the living room table and turn off the lamp. Clean the office table.",0,29.124301195144653,1398.0,1.0,1.0
1750,"Move the stuffed toy, toy cactus, and toy airplane from the couch to the table. Dust them because they are dirty.",0,14.485373258590698,696.0,1.0,1.0
