index,ood_subset,baseline_success,memory_success,routed_skill,injected_demo_ids,n_demos_injected,retrieval_sim_max,retrieval_sim_mean,fallback_fired,input_tokens_total,injected_tokens,truncation_flag,plan_len_baseline,plan_len_memory,scorer_seed
0,bowl_missing,False,False,single_move_asset_to_target,"[3458,228,2781,1880,4735]",5,0.7524831295013428,0.73103107213974,False,1555,576,False,5,5,0
1,plate_missing,True,True,ensure_all_fruits_on_table,"[940,1197,398,1287,352]",5,0.5748867988586426,0.5684079766273499,False,1618,630,False,5,5,1
2,bowl_missing,False,False,ensure_all_fruits_on_table,"[38,416,548,2909,161]",5,0.6202490329742432,0.6094413280487061,False,1606,623,False,5,5,2
3,plate_missing,True,False,single_move_asset_to_target,"[3458,2781,1228,228,4064]",5,0.7544512748718262,0.7373816490173339,False,1560,579,False,5,5,3
4,plate_missing,True,True,sequential_pick_two_and_place,"[583,2873,766,460,5685]",5,0.5971207618713379,0.5775422215461731,False,1752,765,False,5,5,4
5,bowl_missing,False,False,single_move_asset_to_target,"[3458,228,2781,1880,4735]",5,0.7524831295013428,0.73103107213974,False,1562,576,False,5,5,5
6,bowl_missing,False,False,ensure_all_fruits_on_table,"[73,2780,57,1222,1428]",5,0.5554057359695435,0.5518117308616638,False,1605,629,False,5,5,6
7,bowl_missing,False,False,ensure_all_fruits_on_table,"[1428,2075,56,383,1401]",5,0.5903847217559814,0.5883797645568848,False,1618,640,False,5,5,7
8,plate_missing,True,True,ensure_all_fruits_on_table,"[73,2780,57,1222,1428]",5,0.5554057359695435,0.5518117308616638,False,1605,629,False,5,5,8
9,both_missing,False,False,ensure_all_fruits_on_table,"[1401,2069,129,316,1428]",5,0.550321638584137,0.5447251200675964,False,1617,640,False,5,5,9
10,bowl_missing,False,False,single_move_asset_to_target,"[3458,2781,228,225,6705]",5,0.7081499695777893,0.6699793815612793,False,1559,580,False,5,5,10
11,plate_missing,True,True,ensure_all_fruits_on_table,"[1401,2069,129,316,1428]",5,0.550321638584137,0.5447251200675964,False,1617,640,False,5,5,11
12,bowl_missing,False,True,single_move_asset_to_target,"[3458,2781,228,225,6705]",5,0.7081499695777893,0.6699793815612793,False,1566,580,False,5,5,12
13,both_missing,False,False,sequential_pick_two_and_place,"[2700,2742,3597,2873,3152]",5,0.5883311629295349,0.5829203724861145,False,1755,769,False,5,5,13
14,plate_missing,True,True,ensure_all_fruits_on_table,"[73,2780,57,1222,1428]",5,0.5554057359695435,0.5518117308616638,False,1612,629,False,5,5,14
15,bowl_missing,False,False,sequential_pick_two_and_place,"[2700,2742,3597,2873,3152]",5,0.5883311629295349,0.5829203724861145,False,1748,769,False,5,5,15
16,bowl_missing,False,False,ensure_all_fruits_on_table,"[940,1197,398,1287,352]",5,0.5748867988586426,0.5684079766273499,False,1618,630,False,5,5,16
17,both_missing,False,False,ensure_all_fruits_on_table,"[1401,2069,129,316,1428]",5,0.550321638584137,0.5447251200675964,False,1624,640,False,5,5,17
18,plate_missing,True,True,sequential_pick_two_and_place,"[583,2873,766,460,5685]",5,0.5971207618713379,0.5775422215461731,False,1752,765,False,5,5,18
19,both_missing,False,False,sequential_pick_two_and_place,"[583,2873,766,460,5685]",5,0.5971207618713379,0.5775422215461731,False,1752,765,False,5,5,19
20,bowl_missing,False,False,sequential_pick_two_and_place,"[583,2873,766,460,5685]",5,0.5971207618713379,0.5775422215461731,False,1752,765,False,5,5,20
21,bowl_missing,False,False,ensure_all_fruits_on_table,"[1401,2069,129,316,1428]",5,0.550321638584137,0.5447251200675964,False,1617,640,False,5,5,21
22,both_missing,False,False,sequential_pick_two_and_place,"[2700,2742,3597,2873,3152]",5,0.5883311629295349,0.5829203724861145,False,1755,769,False,5,5,22
23,plate_missing,True,True,ensure_all_fruits_on_table,"[73,2780,57,1222,1428]",5,0.5554057359695435,0.5518117308616638,False,1612,629,False,5,5,23
24,plate_missing,True,True,ensure_all_fruits_on_table,"[1428,2075,56,383,1401]",5,0.5903847217559814,0.5883797645568848,False,1625,640,False,5,5,24
25,both_missing,False,False,single_move_asset_to_target,"[3458,228,2781,1880,4735]",5,0.7524831295013428,0.73103107213974,False,1562,576,False,5,5,25
26,plate_missing,False,True,ensure_all_fruits_on_table,"[1428,2075,56,383,1401]",5,0.5903847217559814,0.5883797645568848,False,1625,640,False,5,5,26
27,plate_missing,True,True,ensure_all_fruits_on_table,"[73,2780,57,1222,1428]",5,0.5554057359695435,0.5518117308616638,False,1605,629,False,5,5,27
28,bowl_missing,False,False,ensure_all_fruits_on_table,"[1401,2069,129,316,1428]",5,0.550321638584137,0.5447251200675964,False,1624,640,False,5,5,28
29,plate_missing,False,True,ensure_all_fruits_on_table,"[940,1197,398,1287,352]",5,0.5748867988586426,0.5684079766273499,False,1611,630,False,5,5,29
30,plate_missing,True,True,ensure_all_fruits_on_table,"[1401,2069,129,316,1428]",5,0.550321638584137,0.5447251200675964,False,1624,640,False,5,5,30
31,bowl_missing,False,True,ensure_all_fruits_on_table,"[1401,2069,129,316,1428]",5,0.550321638584137,0.5447251200675964,False,1624,640,False,5,5,31
32,both_missing,False,False,sequential_pick_two_and_place,"[2700,2742,3597,2873,3152]",5,0.5883311629295349,0.5829203724861145,False,1748,769,False,5,5,32
33,plate_missing,True,True,ensure_all_fruits_on_table,"[38,416,548,2909,161]",5,0.6202490329742432,0.6094413280487061,False,1599,623,False,5,5,33
34,bowl_missing,False,False,ensure_all_fruits_on_table,"[1401,2069,129,316,1428]",5,0.550321638584137,0.5447251200675964,False,1617,640,False,5,5,34
35,bowl_missing,False,False,ensure_all_fruits_on_table,"[38,416,548,2909,161]",5,0.6202490329742432,0.6094413280487061,False,1606,623,False,5,5,35
36,bowl_missing,False,False,ensure_all_fruits_on_table,"[940,1197,398,1287,352]",5,0.5748867988586426,0.5684079766273499,False,1618,630,False,5,5,36
37,plate_missing,True,True,single_move_asset_to_target,"[3458,228,2781,1880,4735]",5,0.7524831295013428,0.73103107213974,False,1555,576,False,5,5,37
38,both_missing,False,False,sequential_pick_two_and_place,"[583,2873,766,460,5685]",5,0.5971207618713379,0.5775422215461731,False,1745,765,False,5,5,38
39,bowl_missing,False,False,ensure_all_fruits_on_table,"[1428,2075,56,383,1401]",5,0.5903847217559814,0.5883797645568848,False,1625,640,False,5,5,39
