channel,index,c0_full_signature,expected_primitive_kinds,route_primitive_kinds,unit_multiset_agreement,unit_multiset_f1,order_agreement,order_lcs_ratio,scorable_subgoals,retrieval_hits,retrieval_hit_rate,all_subgoals_retrieval_hit,route_correct,zero_shot_success,skill_success,transition
ood,0,"{""object_count"":1,""ordered_units"":[""fetch(bowl)"",""relocate(bowl,table)""],""plan_length"":5}","[""fetch"",""relocate""]","[""fetch"",""fetch"",""relocate""]",False,0.8,False,1.0,3,2,0.6666666666666666,False,False,False,False,unchanged_failure
ood,1,"{""object_count"":1,""ordered_units"":[""fetch(plate)"",""relocate(plate,table)""],""plan_length"":5}","[""fetch"",""relocate""]","[""state_change"",""fetch"",""fetch"",""relocate""]",False,0.6666666666666666,False,1.0,4,3,0.75,False,False,False,False,unchanged_failure
ood,2,"{""object_count"":1,""ordered_units"":[""fetch(bowl)"",""relocate(bowl,table)""],""plan_length"":5}","[""fetch"",""relocate""]","[""state_change"",""state_change"",""relocate"",""relocate""]",False,0.3333333333333333,False,0.5,4,2,0.5,False,False,False,False,unchanged_failure
ood,3,"{""object_count"":1,""ordered_units"":[""fetch(plate)"",""relocate(plate,table)""],""plan_length"":5}","[""fetch"",""relocate""]","[""state_change"",""fetch"",""relocate"",""fetch"",""relocate""]",False,0.5714285714285714,False,1.0,5,3,0.6,False,False,False,False,unchanged_failure
ood,4,"{""object_count"":1,""ordered_units"":[""fetch(plate)"",""relocate(plate,table)""],""plan_length"":5}","[""fetch"",""relocate""]","[""fetch""]",False,0.6666666666666666,False,0.5,1,1,1.0,True,False,False,True,fix
ood,5,"{""object_count"":1,""ordered_units"":[""fetch(bowl)"",""relocate(bowl,table)""],""plan_length"":5}","[""fetch"",""relocate""]","[""fetch"",""fetch"",""relocate""]",False,0.8,False,1.0,3,2,0.6666666666666666,False,False,False,False,unchanged_failure
ood,6,"{""object_count"":1,""ordered_units"":[""fetch(bowl)"",""relocate(bowl,table)""],""plan_length"":5}","[""fetch"",""relocate""]","[""fetch"",""fetch""]",False,0.5,False,0.5,2,1,0.5,False,False,False,False,unchanged_failure
ood,7,"{""object_count"":1,""ordered_units"":[""fetch(bowl)"",""relocate(bowl,table)""],""plan_length"":5}","[""fetch"",""relocate""]","[""state_change"",""state_change"",""relocate"",""relocate""]",False,0.3333333333333333,False,0.5,4,2,0.5,False,False,False,False,unchanged_failure
ood,8,"{""object_count"":1,""ordered_units"":[""fetch(plate)"",""relocate(plate,table)""],""plan_length"":5}","[""fetch"",""relocate""]","[""relocate""]",False,0.6666666666666666,False,0.5,1,1,1.0,True,False,False,False,unchanged_failure
ood,9,"{""object_count"":2,""ordered_units"":[""fetch(bowl)"",""fetch(plate)"",""relocate(bowl,table)"",""relocate(plate,table)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch"",""fetch"",""relocate"",""relocate""]","[""fetch""]",False,0.4,False,0.25,1,1,1.0,True,False,False,False,unchanged_failure
ood,10,"{""object_count"":1,""ordered_units"":[""fetch(bowl)"",""relocate(bowl,table)""],""plan_length"":5}","[""fetch"",""relocate""]","[""state_change""]",False,0.0,False,0.0,1,1,1.0,True,False,False,False,unchanged_failure
ood,11,"{""object_count"":1,""ordered_units"":[""fetch(plate)"",""relocate(plate,table)""],""plan_length"":5}","[""fetch"",""relocate""]","[""fetch""]",False,0.6666666666666666,False,0.5,1,1,1.0,True,False,False,False,unchanged_failure
ood,12,"{""object_count"":1,""ordered_units"":[""fetch(bowl)"",""relocate(bowl,table)""],""plan_length"":5}","[""fetch"",""relocate""]","[""state_change""]",False,0.0,False,0.0,1,1,1.0,True,False,False,False,unchanged_failure
ood,13,"{""object_count"":2,""ordered_units"":[""fetch(bowl)"",""fetch(plate)"",""relocate(bowl,table)"",""relocate(plate,table)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch"",""fetch"",""relocate"",""relocate""]","[""state_change""]",False,0.0,False,0.0,1,1,1.0,True,False,False,False,unchanged_failure
ood,14,"{""object_count"":1,""ordered_units"":[""fetch(plate)"",""relocate(plate,table)""],""plan_length"":5}","[""fetch"",""relocate""]","[""fetch""]",False,0.6666666666666666,False,0.5,1,1,1.0,True,False,False,False,unchanged_failure
ood,15,"{""object_count"":1,""ordered_units"":[""fetch(bowl)"",""relocate(bowl,table)""],""plan_length"":5}","[""fetch"",""relocate""]","[""state_change""]",False,0.0,False,0.0,1,1,1.0,True,False,False,False,unchanged_failure
ood,16,"{""object_count"":1,""ordered_units"":[""fetch(bowl)"",""relocate(bowl,table)""],""plan_length"":5}","[""fetch"",""relocate""]","[""state_change"",""fetch"",""fetch"",""relocate""]",False,0.6666666666666666,False,1.0,4,3,0.75,False,False,False,False,unchanged_failure
ood,17,"{""object_count"":2,""ordered_units"":[""fetch(bowl)"",""fetch(plate)"",""relocate(bowl,table)"",""relocate(plate,table)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch"",""fetch"",""relocate"",""relocate""]","[""fetch""]",False,0.4,False,0.25,1,1,1.0,True,False,False,False,unchanged_failure
ood,18,"{""object_count"":1,""ordered_units"":[""fetch(plate)"",""relocate(plate,table)""],""plan_length"":5}","[""fetch"",""relocate""]","[""fetch""]",False,0.6666666666666666,False,0.5,1,1,1.0,True,False,False,True,fix
ood,19,"{""object_count"":2,""ordered_units"":[""fetch(bowl)"",""fetch(plate)"",""relocate(bowl,table)"",""relocate(plate,table)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch"",""fetch"",""relocate"",""relocate""]","[""fetch""]",False,0.4,False,0.25,1,1,1.0,True,False,False,False,unchanged_failure
ood,20,"{""object_count"":1,""ordered_units"":[""fetch(bowl)"",""relocate(bowl,table)""],""plan_length"":5}","[""fetch"",""relocate""]","[""fetch""]",False,0.6666666666666666,False,0.5,1,1,1.0,True,False,False,False,unchanged_failure
ood,21,"{""object_count"":1,""ordered_units"":[""fetch(bowl)"",""relocate(bowl,table)""],""plan_length"":5}","[""fetch"",""relocate""]","[""fetch""]",False,0.6666666666666666,False,0.5,1,1,1.0,True,False,False,False,unchanged_failure
ood,22,"{""object_count"":2,""ordered_units"":[""fetch(bowl)"",""fetch(plate)"",""relocate(bowl,table)"",""relocate(plate,table)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch"",""fetch"",""relocate"",""relocate""]","[""state_change""]",False,0.0,False,0.0,1,1,1.0,True,False,False,False,unchanged_failure
ood,23,"{""object_count"":1,""ordered_units"":[""fetch(plate)"",""relocate(plate,table)""],""plan_length"":5}","[""fetch"",""relocate""]","[""fetch""]",False,0.6666666666666666,False,0.5,1,1,1.0,True,False,False,False,unchanged_failure
ood,24,"{""object_count"":1,""ordered_units"":[""fetch(plate)"",""relocate(plate,table)""],""plan_length"":5}","[""fetch"",""relocate""]","[""state_change"",""state_change"",""relocate"",""relocate""]",False,0.3333333333333333,False,0.5,4,0,0.0,False,False,False,False,unchanged_failure
ood,25,"{""object_count"":2,""ordered_units"":[""fetch(bowl)"",""fetch(plate)"",""relocate(bowl,table)"",""relocate(plate,table)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch"",""fetch"",""relocate"",""relocate""]","[""fetch"",""fetch"",""relocate""]",False,0.8571428571428571,False,0.75,3,2,0.6666666666666666,False,False,False,False,unchanged_failure
ood,26,"{""object_count"":1,""ordered_units"":[""fetch(plate)"",""relocate(plate,table)""],""plan_length"":5}","[""fetch"",""relocate""]","[""state_change"",""state_change"",""relocate"",""relocate""]",False,0.3333333333333333,False,0.5,4,0,0.0,False,False,False,False,unchanged_failure
