index,ood_subset,baseline_success,memory_success,baseline_failure_reason,memory_failure_reason,baseline_official_error_code,memory_official_error_code,baseline_simulator_success,memory_simulator_success,baseline_length_bound_violation,memory_length_bound_violation,plan_len_baseline,plan_len_memory,plan_len_delta,reference_len,baseline_illegal_actions,baseline_ungrounded_targets,baseline_static_invalid,memory_illegal_actions,memory_ungrounded_targets,memory_static_invalid,injected_demo_ids,demo_absent_entities,demo_anchoring_fraction,primary_category
3,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[3458,2781,1228,228,4064]",{},0.0,legal_but_wrong
44,both_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,8,5,-3,8,[],[],False,[],[],False,"[73,2780,57,1222,1428]","{""57"":[""apple""],""73"":[""pear""],""1222"":[""banana""],""1428"":[""apple""],""2780"":[""banana""]}",1.0,legal_but_wrong
64,bowl_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[38,416,548,2909,161]","{""38"":[""tomato""],""161"":[""peach""],""416"":[""pear""],""548"":[""pear""],""2909"":[""banana""]}",1.0,legal_but_wrong
66,plate_missing,True,False,success,ungrounded_entity,,NOT_FOUND_ENTITY,True,False,False,False,5,8,3,5,[],[],False,[],"[""cabinet""]",True,"[2767,3266,143,2943,245]","{""143"":[""bread"",""cabinet""],""245"":[""banana"",""cabinet""],""2767"":[""banana"",""cabinet""],""2943"":[""bread"",""cabinet""],""3266"":[""bread"",""cabinet""]}",1.0,absent_object_reference
105,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[1571,3755,3365,1228,4735]",{},0.0,legal_but_wrong
153,plate_missing,True,False,success,ungrounded_entity,,NOT_FOUND_ENTITY,True,False,False,False,5,5,0,5,[],[],False,[],"[""bread""]",True,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,absent_object_reference
168,plate_missing,True,False,success,ungrounded_entity,,NOT_FOUND_ENTITY,True,False,False,False,5,8,3,5,[],[],False,[],"[""cabinet""]",True,"[2767,3266,143,2943,245]","{""143"":[""bread"",""cabinet""],""245"":[""banana"",""cabinet""],""2767"":[""banana"",""cabinet""],""2943"":[""bread"",""cabinet""],""3266"":[""bread"",""cabinet""]}",1.0,absent_object_reference
231,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[1571,3755,3365,1228,4735]",{},0.0,legal_but_wrong
235,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
240,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
255,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[3458,2781,228,225,6705]","{""225"":[""fork""],""6705"":[""spoon""]}",0.4,legal_but_wrong
257,plate_missing,True,False,success,ungrounded_entity,,NOT_FOUND_ENTITY,True,False,False,False,5,8,3,5,[],[],False,[],"[""cabinet""]",True,"[2767,3266,143,2943,245]","{""143"":[""bread"",""cabinet""],""245"":[""banana"",""cabinet""],""2767"":[""banana"",""cabinet""],""2943"":[""bread"",""cabinet""],""3266"":[""bread"",""cabinet""]}",1.0,absent_object_reference
285,bowl_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[1428,2075,56,383,1401]","{""56"":[""banana""],""383"":[""apple""],""1401"":[""pear""],""1428"":[""apple""],""2075"":[""tomato""]}",1.0,legal_but_wrong
291,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[3458,2781,228,225,6705]","{""225"":[""fork""],""6705"":[""spoon""]}",0.4,legal_but_wrong
294,plate_missing,True,False,success,ungrounded_entity,,NOT_FOUND_ENTITY,True,False,False,False,5,8,3,5,[],[],False,[],"[""cabinet""]",True,"[2767,3266,143,2943,245]","{""143"":[""bread"",""cabinet""],""245"":[""banana"",""cabinet""],""2767"":[""banana"",""cabinet""],""2943"":[""bread"",""cabinet""],""3266"":[""bread"",""cabinet""]}",1.0,absent_object_reference
296,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[3458,2781,228,225,6705]","{""225"":[""fork""],""6705"":[""spoon""]}",0.4,legal_but_wrong
309,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[3458,2781,228,225,6705]","{""225"":[""fork""],""6705"":[""spoon""]}",0.4,legal_but_wrong
377,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[3458,2781,228,225,6705]","{""225"":[""fork""],""6705"":[""spoon""]}",0.4,legal_but_wrong
381,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[1571,3755,3365,1228,4735]",{},0.0,legal_but_wrong
406,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
425,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
438,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,legal_but_wrong
447,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
477,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,legal_but_wrong
486,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[1571,3755,3365,1228,4735]",{},0.0,legal_but_wrong
499,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
512,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[1571,3755,3365,1228,4735]",{},0.0,legal_but_wrong
