index,ood_subset,routed_skill,retrieval_sim_max,retrieval_sim_mean,required_absent_assets,present_at_target_assets,baseline_grasps,memory_grasps,baseline_places,memory_places,uses_present_where_baseline_fetches,swaps_manipulated_object,omits_required_fetch,branch_decision,classification,injected_demo_ids,injected_branch_all_present,injected_branch_some_absent,injected_branch_not_applicable,demo_id,memory_action_distance,memory_grounded_distance,baseline_action_distance,baseline_grounded_distance,copies_demo_structure
12,bowl_missing,single_move_asset_to_target,0.7081499695777893,0.6699793815612793,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[3458,2781,228,225,6705]",0,5,0,225,0,5,0,5,False
26,plate_missing,ensure_all_fruits_on_table,0.5903847217559814,0.5883797645568848,"[""plate""]","[""bowl""]","[""bowl""]","[""plate""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[1428,2075,56,383,1401]",0,5,0,56,0,3,0,3,False
29,plate_missing,ensure_all_fruits_on_table,0.5748867988586426,0.5684079766273499,"[""plate""]","[""bowl""]","[""bowl""]","[""plate""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[940,1197,398,1287,352]",0,5,0,352,0,3,0,3,False
31,bowl_missing,ensure_all_fruits_on_table,0.550321638584137,0.5447251200675964,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[1401,2069,129,316,1428]",0,5,0,129,0,3,0,3,False
48,plate_missing,ensure_all_fruits_on_table,0.6202490329742432,0.6094413280487061,"[""plate""]","[""bowl""]","[""bowl""]","[""plate""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[38,416,548,2909,161]",0,5,0,38,0,3,0,3,False
58,plate_missing,ensure_all_fruits_on_table,0.5554057359695435,0.5518117308616638,"[""plate""]","[""bowl""]","[""bowl""]","[""plate""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[73,2780,57,1222,1428]",0,5,0,57,0,3,0,3,False
99,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
100,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
104,bowl_missing,single_move_asset_to_target,0.6041234731674194,0.5751652002334595,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[1571,3755,3365,1228,4735]",0,5,0,1228,0,5,0,2,False
142,bowl_missing,single_move_asset_to_target,0.6041234731674194,0.5751652002334595,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[1571,3755,3365,1228,4735]",0,5,0,1228,0,5,0,2,False
210,bowl_missing,single_move_asset_to_target,0.7081499695777893,0.6699793815612793,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[3458,2781,228,225,6705]",0,5,0,225,0,5,0,5,False
237,plate_missing,ensure_all_fruits_on_table,0.6202490329742432,0.6094413280487061,"[""plate""]","[""bowl""]","[""bowl""]","[""plate""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[38,416,548,2909,161]",0,5,0,38,0,3,0,3,False
319,bowl_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
433,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
459,plate_missing,ensure_all_fruits_on_table,0.6202490329742432,0.6094413280487061,"[""plate""]","[""bowl""]","[""bowl""]","[""plate""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[38,416,548,2909,161]",0,5,0,38,0,3,0,3,False
488,plate_missing,single_move_asset_to_target,0.7524831295013428,0.73103107213974,"[""plate""]","[""bowl""]","[""bowl""]","[""plate""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[3458,228,2781,1880,4735]",0,5,0,228,0,2,0,5,True
497,plate_missing,ensure_all_fruits_on_table,0.6202490329742432,0.6094413280487061,"[""plate""]","[""bowl""]","[""bowl""]","[""plate""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[38,416,548,2909,161]",0,5,0,38,0,3,0,3,False
505,plate_missing,ensure_all_fruits_on_table,0.6202490329742432,0.6094413280487061,"[""plate""]","[""bowl""]","[""bowl""]","[""plate""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[38,416,548,2909,161]",0,5,0,38,0,3,0,3,False
511,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
521,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
522,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
563,plate_missing,ensure_all_fruits_on_table,0.6202490329742432,0.6094413280487061,"[""plate""]","[""bowl""]","[""bowl""]","[""plate""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[38,416,548,2909,161]",0,5,0,38,0,3,0,3,False
591,plate_missing,single_move_asset_to_target,0.7544512748718262,0.7373816490173339,"[""plate""]","[""bowl""]","[""bowl""]","[""plate""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[3458,2781,1228,228,4064]",0,5,0,228,0,2,0,5,True
601,bowl_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
625,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
631,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
671,bowl_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
693,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
702,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
715,plate_missing,ensure_all_fruits_on_table,0.4980379641056061,0.4952673017978668,"[""plate""]","[""bowl""]","[""bowl""]","[""plate""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[202,3660,398,1287,855]",0,5,0,202,0,3,0,3,False
757,plate_missing,serve_bread_after_checking_cabinet,0.6213803291320801,0.6105820536613464,"[""plate""]","[""bowl""]","[""bowl""]","[""plate""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2767,3266,143,2943,245]",0,5,0,143,3,8,3,8,False
790,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
793,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
829,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
846,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
851,bowl_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
867,plate_missing,ensure_all_fruits_on_table,0.5748867988586426,0.5684079766273499,"[""plate""]","[""bowl""]","[""bowl""]","[""plate""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[940,1197,398,1287,352]",0,5,0,352,0,3,0,3,False
872,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
882,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
935,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
945,plate_missing,ensure_all_fruits_on_table,0.6202490329742432,0.6094413280487061,"[""plate""]","[""bowl""]","[""bowl""]","[""plate""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[38,416,548,2909,161]",0,5,0,38,0,3,0,3,False
960,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
967,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
982,bowl_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
992,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
1002,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
1024,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
1064,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
1089,bowl_missing,single_move_asset_to_target,0.7524831295013428,0.73103107213974,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[3458,228,2781,1880,4735]",0,5,0,228,0,5,0,2,False
1099,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
1151,bowl_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
1177,plate_missing,serve_bread_after_checking_cabinet,0.6213803291320801,0.6105820536613464,"[""plate""]","[""bowl""]","[""bowl""]","[""plate""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[2767,3266,143,2943,245]",0,5,0,143,3,8,3,8,False
1208,bowl_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
1217,bowl_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""bowl""]","[""plate""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
