index,ood_subset,current_branch,absent_assets,routed_skill,original_demo_ids,grounded_tier,grounded_demo_ids,grounded_top_similarity,graded_tier,graded_demo_ids,train_similarity_bar
0,bowl_missing,some_absent,"[""bowl""]",single_move_asset_to_target,"[3458,228,2781,1880,4735]",grounded,"[3458,228,2781,1880,4735]",0.7524831295013428,abstract,[],0.9034629464149475
1,plate_missing,some_absent,"[""plate""]",ensure_all_fruits_on_table,"[940,1197,398,1287,352]",grounded,"[940,1197,398,1287,352]",0.5748868584632874,abstract,[],0.9034629464149475
2,bowl_missing,some_absent,"[""bowl""]",ensure_all_fruits_on_table,"[38,416,548,2909,161]",grounded,"[38,416,548,2909,161]",0.6202490329742432,abstract,[],0.9034629464149475
3,plate_missing,some_absent,"[""plate""]",single_move_asset_to_target,"[3458,2781,1228,228,4064]",grounded,"[3458,2781,1228,228,4064]",0.7544512748718262,abstract,[],0.9034629464149475
4,plate_missing,some_absent,"[""plate""]",sequential_pick_two_and_place,"[583,2873,766,460,5685]",grounded,"[583,2873,766,460,5685]",0.5971207618713379,abstract,[],0.9034629464149475
5,bowl_missing,some_absent,"[""bowl""]",single_move_asset_to_target,"[3458,228,2781,1880,4735]",grounded,"[3458,228,2781,1880,4735]",0.7524831295013428,abstract,[],0.9034629464149475
6,bowl_missing,some_absent,"[""bowl""]",ensure_all_fruits_on_table,"[73,2780,57,1222,1428]",grounded,"[73,2780,57,1222,1428]",0.5554057359695435,abstract,[],0.9034629464149475
7,bowl_missing,some_absent,"[""bowl""]",ensure_all_fruits_on_table,"[1428,2075,56,383,1401]",grounded,"[1428,2075,56,383,1401]",0.5903847217559814,abstract,[],0.9034629464149475
8,plate_missing,some_absent,"[""plate""]",ensure_all_fruits_on_table,"[73,2780,57,1222,1428]",grounded,"[73,2780,57,1222,1428]",0.5554057359695435,abstract,[],0.9034629464149475
9,both_missing,some_absent,"[""bowl"",""plate""]",ensure_all_fruits_on_table,"[1401,2069,129,316,1428]",grounded,"[1401,2069,129,316,1428]",0.550321638584137,abstract,[],0.9034629464149475
10,bowl_missing,some_absent,"[""bowl""]",single_move_asset_to_target,"[3458,2781,228,225,6705]",grounded,"[3458,2781,228,225,6705]",0.7081499099731445,abstract,[],0.9034629464149475
11,plate_missing,some_absent,"[""plate""]",ensure_all_fruits_on_table,"[1401,2069,129,316,1428]",grounded,"[1401,2069,129,316,1428]",0.550321638584137,abstract,[],0.9034629464149475
12,bowl_missing,some_absent,"[""bowl""]",single_move_asset_to_target,"[3458,2781,228,225,6705]",grounded,"[3458,2781,228,225,6705]",0.7081499099731445,abstract,[],0.9034629464149475
13,both_missing,some_absent,"[""bowl"",""plate""]",sequential_pick_two_and_place,"[2700,2742,3597,2873,3152]",grounded,"[2700,2742,3597,2873,3152]",0.5883311033248901,abstract,[],0.9034629464149475
14,plate_missing,some_absent,"[""plate""]",ensure_all_fruits_on_table,"[73,2780,57,1222,1428]",grounded,"[73,2780,57,1222,1428]",0.5554057359695435,abstract,[],0.9034629464149475
15,bowl_missing,some_absent,"[""bowl""]",sequential_pick_two_and_place,"[2700,2742,3597,2873,3152]",grounded,"[2700,2742,3597,2873,3152]",0.5883311033248901,abstract,[],0.9034629464149475
16,bowl_missing,some_absent,"[""bowl""]",ensure_all_fruits_on_table,"[940,1197,398,1287,352]",grounded,"[940,1197,398,1287,352]",0.5748868584632874,abstract,[],0.9034629464149475
17,both_missing,some_absent,"[""bowl"",""plate""]",ensure_all_fruits_on_table,"[1401,2069,129,316,1428]",grounded,"[1401,2069,129,316,1428]",0.550321638584137,abstract,[],0.9034629464149475
18,plate_missing,some_absent,"[""plate""]",sequential_pick_two_and_place,"[583,2873,766,460,5685]",grounded,"[583,2873,766,460,5685]",0.5971207618713379,abstract,[],0.9034629464149475
19,both_missing,some_absent,"[""bowl"",""plate""]",sequential_pick_two_and_place,"[583,2873,766,460,5685]",grounded,"[583,2873,766,460,5685]",0.5971207618713379,abstract,[],0.9034629464149475
20,bowl_missing,some_absent,"[""bowl""]",sequential_pick_two_and_place,"[583,2873,766,460,5685]",grounded,"[583,2873,766,460,5685]",0.5971207618713379,abstract,[],0.9034629464149475
21,bowl_missing,some_absent,"[""bowl""]",ensure_all_fruits_on_table,"[1401,2069,129,316,1428]",grounded,"[1401,2069,129,316,1428]",0.550321638584137,abstract,[],0.9034629464149475
22,both_missing,some_absent,"[""bowl"",""plate""]",sequential_pick_two_and_place,"[2700,2742,3597,2873,3152]",grounded,"[2700,2742,3597,2873,3152]",0.5883311033248901,abstract,[],0.9034629464149475
23,plate_missing,some_absent,"[""plate""]",ensure_all_fruits_on_table,"[73,2780,57,1222,1428]",grounded,"[73,2780,57,1222,1428]",0.5554057359695435,abstract,[],0.9034629464149475
24,plate_missing,some_absent,"[""plate""]",ensure_all_fruits_on_table,"[1428,2075,56,383,1401]",grounded,"[1428,2075,56,383,1401]",0.5903847217559814,abstract,[],0.9034629464149475
25,both_missing,some_absent,"[""bowl"",""plate""]",single_move_asset_to_target,"[3458,228,2781,1880,4735]",grounded,"[3458,228,2781,1880,4735]",0.7524831295013428,abstract,[],0.9034629464149475
26,plate_missing,some_absent,"[""plate""]",ensure_all_fruits_on_table,"[1428,2075,56,383,1401]",grounded,"[1428,2075,56,383,1401]",0.5903847217559814,abstract,[],0.9034629464149475
