model,split,path,rows,sha256,solved,reask_rows,expected,fig3_first_turn_differ,fig3_first_turn_identical,fig3_missing,fig3_n,fig3_rows,fig3_sha256,fig3_sha_matches_SHA256SUMS,fig3_solved,first_turn_source,first_turn_source_sha256,raw_equals_source,registry_replay_source,registry_source,rows_with_raw,source_rows,status
72B,id,results/viki_memory_experiments/amendment11/v3_ours_72B_id.jsonl,924,c5d8c9c69d609b2c100d3e350fd85c9652afe9befd52433c79f1ef6e51bf4ebe,721,46,924,0,924,0,924,results/paper_viki_iclr2027/rows/rq2/full/qwen2.5-vl-72b-instruct/id.jsonl,d68a779f5ab54838d96024d81b74fc093095887f614448c1f316e664f11002e3,True,721,results/viki_memory_experiments/amendment11/intent_crew_clean.jsonl,8edea9300c7ade76e65aeafa68dacc7e9df1e1510dd0483fb64e689c3200e7bc,924,results/viki_memory_experiments/amendment11/intent_crew_clean.jsonl,results/viki_memory_experiments/amendment11/v3_ours_72B_id.jsonl,924,924,ok
72B,ood_single_family,results/viki_memory_experiments/amendment11/v3_ours_72B_heldout.jsonl,924,beba32a80ba161f395d042b2848da90f42da8eafb575b7e445adb6abb8160382,501,266,924,0,924,0,924,results/paper_viki_iclr2027/rows/rq2/full/qwen2.5-vl-72b-instruct/ood_single_family.jsonl,8fee13e4d703c4a106c4e42c945c90405e59c0b25586c46dbbdad040157c9052,True,501,results/viki_memory_experiments/amendment11/intent_crew_clean.jsonl,8edea9300c7ade76e65aeafa68dacc7e9df1e1510dd0483fb64e689c3200e7bc,924,results/viki_memory_experiments/amendment11/intent_crew_clean.jsonl,,924,924,ok
72B,cg_image,results/viki_memory_experiments/amendment11/v3_oursall_72B_imaged.jsonl,297,e1a35dc990a08d83c310e58a089543da3884abe622462ec092100f6846f48274,237,0,297,0,297,0,297,results/paper_viki_iclr2027/rows/rq2/full/qwen2.5-vl-72b-instruct/cg_image.jsonl,f6d57aaacadceaa659f48fa7907e66dbb675efb63c4b5ec488d46d8f38166425,True,237,results/viki_memory_experiments/amendment11/recomb_imaged_agentic.jsonl,2f3aea5df5556aa7b82efb4abcd6dcab203de4dc6f80991c6a1e6404cf23919d,297,results/viki_memory_experiments/amendment11/recomb_imaged_agentic.jsonl,results/viki_memory_experiments/amendment11/v3_oursall_72B_imaged.jsonl,297,297,ok
72B,cg_text,results/viki_memory_experiments/amendment11/v3_oursall_72B_text.jsonl,297,e6e62c1b60315dd60819c6d455844d13563a487ec5d9c624db8a5c1d4e1ad5f3,256,0,297,0,297,0,297,results/paper_viki_iclr2027/rows/rq2/full/qwen2.5-vl-72b-instruct/pure_text.jsonl,ae663dfa3eb4c2d07e56af153af0b91e8ac910d544dd7f16ed9574cceba6618b,True,256,results/viki_memory_experiments/amendment11/recomb_text_agentic.jsonl,85fe56f9b24a4ba4a6d3bcb088b5690f3b2f83cb58939b0fe0505ca6b950b37f,297,results/viki_memory_experiments/amendment11/recomb_text_agentic.jsonl,results/viki_memory_experiments/amendment11/v3_oursall_72B_text.jsonl,297,297,ok
30B,id,results/viki_memory_experiments/amendment11/v3_ours_30B_id.jsonl,924,bbcb57b884063b8f4decc1fea50d2787dc66fe3432bfbbb4c306a47641c1de1a,530,71,924,0,924,0,924,results/paper_viki_iclr2027/rows/rq2/full/qwen3-vl-30b-a3b-instruct/id.jsonl,f6e26ed6f819723c8a2a08b30a244fbaf7ff31d0e65055d2d3c7f69124e16967,True,530,results/viki_memory_experiments/amendment11/m30_id.jsonl,bbc858418e9f05e958346333e372f591cdfcad472e570393bcf415e29be177f6,924,results/viki_memory_experiments/amendment11/m30_id.jsonl,results/viki_memory_experiments/amendment11/v3_ours_30B_id.jsonl,924,924,ok
30B,ood_single_family,results/viki_memory_experiments/amendment11/v3_ours_30B_heldout.jsonl,924,e1e5f3a5e9b097cb5f488dd8e0b087d94cf1bdd952e5a771bec927c4e182a234,327,268,924,0,924,0,924,results/paper_viki_iclr2027/rows/rq2/full/qwen3-vl-30b-a3b-instruct/ood_single_family.jsonl,b95104b2878c65f903255e7833b661db944c58f70a09eb054aded8655be8ed49,True,327,results/viki_memory_experiments/amendment11/m30_id.jsonl,bbc858418e9f05e958346333e372f591cdfcad472e570393bcf415e29be177f6,924,results/viki_memory_experiments/amendment11/m30_id.jsonl,,924,924,ok
30B,cg_image,results/viki_memory_experiments/amendment11/v3_oursall_30B_imaged.jsonl,297,79cc7e2c34eb76b810dc07615598a3a4c8c783cdbf2a0ea4064056cda732e453,193,0,297,0,297,0,297,results/paper_viki_iclr2027/rows/rq2/full/qwen3-vl-30b-a3b-instruct/cg_image.jsonl,b1df477a137d893ca1eac079abd72297e467f2e729c786fcb099869196053af7,True,193,results/viki_memory_experiments/amendment11/m30_recomb_imaged.jsonl,ef4ef0bf5e69746e9f48bbdc0a648ff8b89c3ec81f04df3cdce1c1ddefd5bd28,297,results/viki_memory_experiments/amendment11/m30_recomb_imaged.jsonl,results/viki_memory_experiments/amendment11/v3_oursall_30B_imaged.jsonl,297,297,ok
30B,cg_text,results/viki_memory_experiments/amendment11/v3_oursall_30B_text.jsonl,297,39a165ee649b062f083ad9601cdbc3b4ca83e6e0ce3504c8b1ae4210698c7ff4,215,0,297,0,297,0,297,results/paper_viki_iclr2027/rows/rq2/full/qwen3-vl-30b-a3b-instruct/pure_text.jsonl,4ef844321a58136697dc0358d2adb77084c70ae1e4e2a0332413425409dbfb9c,True,215,results/viki_memory_experiments/amendment11/m30_recomb_text.jsonl,2561a3d1e5a1282f5e87531cb86151f204af761fe3edc389b98659dd14790944,297,results/viki_memory_experiments/amendment11/m30_recomb_text.jsonl,results/viki_memory_experiments/amendment11/v3_oursall_30B_text.jsonl,297,297,ok
7B,id,results/viki_memory_experiments/amendment11/v3_ours_7B_id.jsonl,924,7e73d404abaa8acf89c11931429355da5093f5466729b26cbf0dde84bd794618,128,135,924,0,924,0,924,results/paper_viki_iclr2027/rows/rq2/full/qwen2.5-vl-7b-instruct/id.jsonl,80f4b5d7671e63e304896dbdfb8aeaa4ae72b2d8acf0fcef5bc0b99a7b73e924,True,128,results/viki_memory_experiments/amendment11/m7_id.jsonl,309202b09fdde240bf8f87b126266086f80793d113029d5cc8956d313243d4bc,924,results/viki_memory_experiments/amendment11/m7_id.jsonl,results/viki_memory_experiments/amendment11/v3_ours_7B_id.jsonl,924,924,ok
7B,ood_single_family,results/viki_memory_experiments/amendment11/v3_ours_7B_heldout.jsonl,924,f353736e895dd690df007862307a5099b68c0585b1e54e22dbea4adbd8bc42ff,108,244,924,0,924,0,924,results/paper_viki_iclr2027/rows/rq2/full/qwen2.5-vl-7b-instruct/ood_single_family.jsonl,41b5e1fb080a2f60f8f99b771ddd77ba322adc9f37fcb8f7d08a092c5f21e2f7,True,108,results/viki_memory_experiments/amendment11/m7_id.jsonl,309202b09fdde240bf8f87b126266086f80793d113029d5cc8956d313243d4bc,924,results/viki_memory_experiments/amendment11/m7_id.jsonl,,924,924,ok
