model,split,index,task_name,reask,full_solved,full_replay_solved,first_turn_solved,archived_reason,first_turn_reason
72B,id,2,dog_push_box_for_two_panda_transport,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,id,3,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,5,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,10,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,13,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,14,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,15,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,19,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,20,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,21,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,24,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,26,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,27,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,28,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,34,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,37,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,39,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,40,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,42,dog_push_box_for_two_panda_transport,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,id,43,dog_push_box_for_two_panda_transport,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,id,47,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,48,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,50,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,52,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,53,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,54,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,55,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,56,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,61,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,63,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,67,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,68,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,71,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,75,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
