index,ood_subset,routed_skill,retrieval_sim_max,retrieval_sim_mean,required_absent_assets,present_at_target_assets,baseline_grasps,memory_grasps,baseline_places,memory_places,uses_present_where_baseline_fetches,swaps_manipulated_object,omits_required_fetch,branch_decision,classification,injected_demo_ids,injected_branch_all_present,injected_branch_some_absent,injected_branch_not_applicable,demo_id,memory_action_distance,memory_grounded_distance,baseline_action_distance,baseline_grounded_distance,copies_demo_structure
3,plate_missing,single_move_asset_to_target,0.7544512748718262,0.7373816490173339,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[3458,2781,1228,228,4064]",0,5,0,228,0,5,0,2,False
44,both_missing,ensure_all_fruits_on_table,0.5554057359695435,0.5518117308616638,"[""bowl"",""plate""]",[],"[""bowl"",""plate""]","[""plate""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[73,2780,57,1222,1428]",0,5,0,57,0,3,3,6,True
64,bowl_missing,ensure_all_fruits_on_table,0.6202490329742432,0.6094413280487061,"[""bowl""]","[""plate""]","[""bowl""]","[""plate""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[38,416,548,2909,161]",0,5,0,38,0,3,0,3,False
105,plate_missing,single_move_asset_to_target,0.6041234731674194,0.5751652002334595,"[""plate""]","[""bowl""]","[""plate""]","[""plate""]","[""table""]","[""kitchen island area""]",False,False,False,False,copies_injected_demo_structure,"[1571,3755,3365,1228,4735]",0,5,0,1571,0,0,0,2,True
231,plate_missing,single_move_asset_to_target,0.6041234731674194,0.5751652002334595,"[""plate""]","[""bowl""]","[""plate""]","[""plate""]","[""table""]","[""kitchen island area""]",False,False,False,False,copies_injected_demo_structure,"[1571,3755,3365,1228,4735]",0,5,0,1571,0,0,0,2,True
235,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
240,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
255,plate_missing,single_move_asset_to_target,0.7081499695777893,0.6699793815612793,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[3458,2781,228,225,6705]",0,5,0,225,0,5,0,5,False
285,bowl_missing,ensure_all_fruits_on_table,0.5903847217559814,0.5883797645568848,"[""bowl""]","[""plate""]","[""bowl""]","[""plate""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[1428,2075,56,383,1401]",0,5,0,56,0,3,0,3,False
291,plate_missing,single_move_asset_to_target,0.7081499695777893,0.6699793815612793,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[3458,2781,228,225,6705]",0,5,0,225,0,5,0,5,False
