split,index,source_task,analysis_skill,instruction,branch,conditions,absent_assets,unresolved_assets
train,0,sequential_pick_two_and_place,sequential_pick_two_and_place,Please tidy up by getting the apple and pumpkin into the plate.,some_absent,"[{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""plate""},{""asset"":""pumpkin"",""status"":""present_elsewhere"",""target"":""plate""}]","[""apple"",""pumpkin""]","[""plate""]"
train,1,cut_two_fruits_on_board,cut_two_fruits_on_board,"Move the apple together with the bread onto the wooden cutting board, then cut them using the knife.",some_absent,"[{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""wooden cutting board""},{""asset"":""bread"",""status"":""present_elsewhere"",""target"":""wooden cutting board""}]","[""apple"",""bread""]","[""knife"",""wooden cutting board""]"
train,2,serve_bread_from_counter,serve_bread_from_counter,"Place the apple onto the bowl. Should it be missing, have a quick look inside the cabinet.",some_absent,"[{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""bowl""}]","[""apple""]","[""bowl"",""cabinet""]"
train,3,serve_bread_from_counter,serve_bread_from_counter,"Put the bread on the bowl; if it isn't on the counter, it might still be in the cabinet, so check there.",some_absent,"[{""asset"":""bread"",""status"":""present_elsewhere"",""target"":""bowl""}]","[""bread""]","[""bowl"",""cabinet""]"
train,4,dog_push_box_for_two_panda_transport,dog_push_box_for_two_panda_transport,"Shift the meat to the sink location. If carrying it directly isn't feasible, first house the meat in a cardboardbox, move the cardboardbox, and extract the meat at the sink.",some_absent,"[{""asset"":""meat"",""status"":""present_elsewhere"",""target"":""sink""}]","[""meat""]","[""cardboardbox"",""sink""]"
train,5,dog_push_box_for_two_panda_transport,dog_push_box_for_two_panda_transport,"Relocate the pumpkin to the sink. If it’s too far to carry directly, cardboardbox the pumpkin, move the cardboardbox, and then remove the pumpkin.",some_absent,"[{""asset"":""pumpkin"",""status"":""present_elsewhere"",""target"":""sink""}]","[""pumpkin""]","[""cardboardbox"",""sink""]"
train,6,single_move_asset_to_target,single_move_asset_to_target,Take the pear and move it to the kitchen work area in an orderly manner.,some_absent,"[{""asset"":""pear"",""status"":""present_elsewhere"",""target"":""kitchen work area""}]","[""pear""]",[]
train,7,cut_fruit_on_board,cut_fruit_on_board,"Set the apple on the wooden cutting board, then apply the knife to slice it.",some_absent,"[{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""wooden cutting board""}]","[""apple""]","[""knife"",""wooden cutting board""]"
train,8,toast_bread_and_set_plate,toast_bread_and_set_plate,"Begin by inserting the bread into the toaster, switch it on, and at the same time place the bowl on the kitchen work area to organize the workspace.",some_absent,"[{""asset"":""bread"",""status"":""present_elsewhere"",""target"":""toaster""},{""asset"":""bowl"",""status"":""present_elsewhere"",""target"":""kitchen work area""}]","[""bread"",""bowl""]","[""toaster""]"
train,9,cut_fruit_on_board,cut_fruit_on_board,Cut the apple with the knife once everything is on the wooden cutting board.,some_absent,"[{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""wooden cutting board""},{""asset"":""knife"",""status"":""present_elsewhere"",""target"":""wooden cutting board""}]","[""apple"",""knife""]","[""wooden cutting board""]"
train,10,single_move_asset_to_target,single_move_asset_to_target,Gently move the bottle onto the kitchen work area to complete this part of the task.,some_absent,"[{""asset"":""bottle"",""status"":""present_elsewhere"",""target"":""kitchen work area""}]","[""bottle""]",[]
