split,index,task_name,ordered_units,unit_kinds,plan_length,object_count,action_skeleton,full_signature
train,0,sequential_pick_two_and_place,"[""fetch(apple)"",""fetch(pumpkin)"",""relocate(apple,plate)"",""relocate(pumpkin,plate)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""relocate"",""relocate"",""multi_object_sequence""]",8,2,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":2,""ordered_units"":[""fetch(apple)"",""fetch(pumpkin)"",""relocate(apple,plate)"",""relocate(pumpkin,plate)"",""multi_object_sequence(2)""],""plan_length"":8}"
train,1,cut_two_fruits_on_board,"[""fetch(apple)"",""fetch(knife)"",""fetch(bread)"",""relocate(apple,wooden cutting board)"",""relocate(bread,wooden cutting board)"",""state_change(interact,knife)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""fetch"",""relocate"",""relocate"",""state_change"",""multi_object_sequence""]",9,2,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Grasp""],[""Move""],[""Reach""],[""Grasp""],[""Move"",""Move""],[""Place""],[""Interact""]]","{""object_count"":2,""ordered_units"":[""fetch(apple)"",""fetch(knife)"",""fetch(bread)"",""relocate(apple,wooden cutting board)"",""relocate(bread,wooden cutting board)"",""state_change(interact,knife)"",""multi_object_sequence(2)""],""plan_length"":9}"
train,2,serve_bread_from_counter,"[""fetch(apple)"",""relocate(apple,bowl)""]","[""fetch"",""relocate""]",5,1,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,bowl)""],""plan_length"":5}"
train,3,serve_bread_from_counter,"[""fetch(bread)"",""relocate(bread,bowl)""]","[""fetch"",""relocate""]",5,1,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":1,""ordered_units"":[""fetch(bread)"",""relocate(bread,bowl)""],""plan_length"":5}"
train,4,dog_push_box_for_two_panda_transport,"[""state_change(push,cardboardbox,R3)"",""fetch(meat)"",""relocate(meat,cardboardbox)"",""state_change(push,cardboardbox,R1)"",""fetch(meat)"",""relocate(meat,sink)""]","[""state_change"",""fetch"",""relocate"",""state_change"",""fetch"",""relocate""]",7,1,"[[""Move"",""Reach""],[""Push"",""Grasp""],[""Place""],[""Push""],[""Reach""],[""Grasp""],[""Place""]]","{""object_count"":1,""ordered_units"":[""state_change(push,cardboardbox,R3)"",""fetch(meat)"",""relocate(meat,cardboardbox)"",""state_change(push,cardboardbox,R1)"",""fetch(meat)"",""relocate(meat,sink)""],""plan_length"":7}"
train,5,dog_push_box_for_two_panda_transport,"[""state_change(push,cardboardbox,R3)"",""fetch(pumpkin)"",""relocate(pumpkin,cardboardbox)"",""state_change(push,cardboardbox,R2)"",""fetch(pumpkin)"",""relocate(pumpkin,sink)""]","[""state_change"",""fetch"",""relocate"",""state_change"",""fetch"",""relocate""]",7,1,"[[""Move"",""Reach""],[""Push"",""Grasp""],[""Place""],[""Push""],[""Reach""],[""Grasp""],[""Place""]]","{""object_count"":1,""ordered_units"":[""state_change(push,cardboardbox,R3)"",""fetch(pumpkin)"",""relocate(pumpkin,cardboardbox)"",""state_change(push,cardboardbox,R2)"",""fetch(pumpkin)"",""relocate(pumpkin,sink)""],""plan_length"":7}"
train,6,single_move_asset_to_target,"[""fetch(pear)"",""relocate(pear,kitchen work area)""]","[""fetch"",""relocate""]",5,1,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":1,""ordered_units"":[""fetch(pear)"",""relocate(pear,kitchen work area)""],""plan_length"":5}"
train,7,cut_fruit_on_board,"[""fetch(knife)"",""fetch(apple)"",""relocate(apple,wooden cutting board)"",""state_change(interact,knife)""]","[""fetch"",""fetch"",""relocate"",""state_change""]",6,1,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Grasp""],[""Move"",""Move""],[""Reach"",""Place""],[""Interact""]]","{""object_count"":1,""ordered_units"":[""fetch(knife)"",""fetch(apple)"",""relocate(apple,wooden cutting board)"",""state_change(interact,knife)""],""plan_length"":6}"
train,8,toast_bread_and_set_plate,"[""fetch(bread)"",""fetch(bowl)"",""relocate(bread,toaster)"",""relocate(bowl,kitchen work area)"",""state_change(interact,toaster)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""relocate"",""relocate"",""state_change"",""multi_object_sequence""]",6,2,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Grasp""],[""Move"",""Move""],[""Place"",""Place""],[""Interact""]]","{""object_count"":2,""ordered_units"":[""fetch(bread)"",""fetch(bowl)"",""relocate(bread,toaster)"",""relocate(bowl,kitchen work area)"",""state_change(interact,toaster)"",""multi_object_sequence(2)""],""plan_length"":6}"
train,9,cut_fruit_on_board,"[""fetch(apple)"",""fetch(knife)"",""relocate(apple,wooden cutting board)"",""state_change(interact,knife)""]","[""fetch"",""fetch"",""relocate"",""state_change""]",6,1,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Grasp""],[""Move"",""Move""],[""Place"",""Reach""],[""Interact""]]","{""object_count"":1,""ordered_units"":[""fetch(apple)"",""fetch(knife)"",""relocate(apple,wooden cutting board)"",""state_change(interact,knife)""],""plan_length"":6}"
train,10,single_move_asset_to_target,"[""fetch(bottle)"",""relocate(bottle,kitchen work area)""]","[""fetch"",""relocate""]",5,1,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":1,""ordered_units"":[""fetch(bottle)"",""relocate(bottle,kitchen work area)""],""plan_length"":5}"
train,11,serve_bread_from_counter,"[""fetch(banana)"",""relocate(banana,plate)""]","[""fetch"",""relocate""]",5,1,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,plate)""],""plan_length"":5}"
