index,subgoal_position,predicted_subgoal,predicted_primitive_kind,matched_skill_name,injected_instance_ids,injected_unit_kinds,retrieval_hit,channel
0,0,find_non_table_item,fetch,inspect_table,"[""1700:0"",""1958:0""]","[""fetch"",""state_change""]",True,ood
0,1,move_to_non_table_item,,move_to_table,"[""1210:1"",""2918:1""]","[""relocate""]",,ood
0,2,pick_non_table_item,fetch,move_to_table,"[""3979:1""]","[""relocate""]",False,ood
0,3,move_to_table,,move_to_table,[],[],,ood
0,4,place_non_table_item_on_table,relocate,place_on_table,"[""3156:2""]","[""multi_object_sequence"",""relocate""]",True,ood
1,0,check_table_for_bowl_and_plate,state_change,check_table,"[""1502:0"",""1663:0""]","[""fetch"",""state_change""]",True,ood
1,1,if_bowl_missing_get_bowl,fetch,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",True,ood
1,2,if_plate_missing_get_plate,fetch,set_plate,"[""5528:0"",""2966:0""]","[""fetch"",""state_change""]",True,ood
1,3,place_missing_dish_on_table,relocate,place_plate_on_kitchen_island,[],[],False,ood
2,0,check_table_for_bowl_0,state_change,check_table,"[""1039:0"",""1737:0""]","[""fetch"",""state_change""]",True,ood
2,1,check_table_for_plate_0,state_change,check_table,"[""2239:0"",""6057:0""]","[""fetch"",""state_change""]",True,ood
2,2,deliver_bowl_0_if_missing,relocate,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",False,ood
2,3,deliver_plate_0_if_missing,relocate,place_plate,[],[],False,ood
3,0,inspect_table,state_change,inspect_table,"[""1700:0"",""1958:0""]","[""fetch"",""state_change""]",True,ood
3,1,fetch_bowl_0,fetch,fetch_bowl,"[""4764:0"",""1488:0""]","[""fetch"",""state_change""]",True,ood
3,2,place_bowl_0_on_table,relocate,place_bowl,"[""4764:1"",""1488:2""]","[""fetch"",""multi_object_sequence"",""open_container_then_retrieve"",""relocate""]",True,ood
3,3,fetch_plate_0,fetch,place_plate,[],[],False,ood
3,4,place_plate_0_on_table,relocate,place_on_plate,[],[],False,ood
4,0,examine_table,,inspect_table,"[""1700:0"",""1958:0""]","[""fetch"",""state_change""]",,ood
4,1,find_single_dish,fetch,fetch_bowl,"[""4764:0"",""1488:0""]","[""fetch"",""state_change""]",True,ood
4,2,supply_missing_dish,,fetch_bowl,"[""2686:0""]","[""fetch"",""state_change""]",,ood
4,3,position_both_dishes,,place_plate_on_kitchen_island,"[""1484:1""]","[""relocate""]",,ood
5,0,find_non_table_item,fetch,inspect_table,"[""1700:0"",""1958:0""]","[""fetch"",""state_change""]",True,ood
5,1,move_to_non_table_item,,move_to_table,"[""1210:1"",""2918:1""]","[""relocate""]",,ood
5,2,pick_non_table_item,fetch,move_to_table,"[""3979:1""]","[""relocate""]",False,ood
5,3,move_to_table,,move_to_table,[],[],,ood
5,4,place_non_table_item_on_table,relocate,place_on_table,"[""3156:2""]","[""multi_object_sequence"",""relocate""]",True,ood
6,0,observe_table,,inspect_table,"[""1700:0"",""1958:0""]","[""fetch"",""state_change""]",,ood
6,1,observe_kitchen_work_area,,navigate_to_kitchen_island,"[""1484:0""]","[""fetch"",""state_change""]",,ood
6,2,pick_bowl_0,fetch,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",True,ood
6,3,pick_plate_0,fetch,place_plate,"[""3266:2""]","[""relocate""]",False,ood
7,0,scan_table,,scan_table,"[""5235:0"",""1209:0""]","[""fetch"",""state_change""]",,ood
7,1,check_for_bowl,state_change,fetch_bowl,"[""4764:0"",""1488:0""]","[""fetch"",""state_change""]",True,ood
7,2,check_for_plate,state_change,set_plate,"[""7118:0"",""911:0""]","[""fetch"",""state_change""]",True,ood
