episode_id,fold,sha256_mod2,in_heuristic_log,has_traces,heuristic_success,heuristic_percent_complete,instruction
433,B,1,True,True,0.0,0.8333333333333334,"Let's make smoothies. Move the jug and toy fruits to the kitchen, and wash them. Place 2 glasses on the coffee table."
436,B,1,True,True,0.0,0.8333333333333334,Let's make coffee. Move the electric kettle and a can to the kitchen counter? I'll fill the kettle with water and turn it on. Place two mugs on the living room table while the coffee brews.
438,B,1,False,False,,,"Let's clean the office. Move the sponge and soap dispenser to the office. I'll clean the table with them. Also, let's move the towels to the bathroom."
439,B,1,True,True,1.0,1.0,"Let's clean the kitchen. Move the dishes to the kitchen, while I wipe down the counters."
442,B,1,True,True,1.0,1.0,Move all the toys on the couches to a nearby table. Let's also dust them because they are dirty.
443,B,1,True,True,1.0,1.0,Move all of the plates from the dining table to the kitchen and I'll clean the table.
444,A,0,True,True,1.0,1.0,Let me clean the shoes in the chest of drawers. They can all be moved to the entryway once clean.
445,B,1,True,True,1.0,1.0,Move the laptop and the mouse pad to the living room. I'll turn on the laptop once its there.
446,B,1,True,True,1.0,1.0,Move all of the dirty dishes to the kitchen. I'll wipe down the dining table with the sponge.
447,B,1,True,True,0.0,0.5,"Let's clean up after dinner. Can we put all the dirty dishes in the kitchen so that I can clean them? As I clean the dishes, put them on the kitchen table."
448,B,1,True,True,0.0,0.6666666666666666,Clean the spatula and place the casserole and spatula on the kitchen table.
449,B,1,True,True,0.0,0.8333333333333334,It's time to go to bed. Let's turn off all the lamps in the living room. Also bring a book from the living room and a filled glass of water from the kitchen to the bedroom.
450,A,0,True,True,0.0,0.23076923076923078,Help me set up for a party. Move 3 filled water bottles and a filled pitcher from the kitchen table to the fridge for chilled water. Set a vase on the living room table and 4 bowls for snacks on the living room table.
451,A,0,True,True,1.0,1.0,Place the toy fruits and vase on the large oak table. I will clean the bed.
452,B,1,True,True,1.0,1.0,Place the hammer on the toilet while I scrub the toilet.
454,B,1,True,True,0.0,0.5,Clear up the dining table by bringing the items to the kitchen. I will wash them one by one.
455,B,1,True,True,0.0,0.5,Move the dirty bath towels from the bedroom to the laundry room. I will clean them.
456,A,0,True,True,0.0,0.8,"Please bring a filled water bottle, laptop cover, mousepad and a backpack to the living room."
458,B,1,True,True,0.0,0.7777777777777778,"Let's setup for dinner. Fill the pitcher on the kitchen counter with water and put it in the fridge so that we can have chilled water with dinner. Also, wipe the dinner table and take two plates, two bowls, and two glasses from the kitchen cabinet and set them on the table?"
1621,A,0,True,True,0.0,0.6,"Move the jug, kettle, teapot, and cup from the dining table to the kitchen and fill all with water. Turn on the lamp, and clean the dining table."
1622,A,0,True,True,1.0,1.0,"Move the spatula, ladle, and fork from the kitchen counter to the dining table. Clean the kitchen counter."
1623,B,1,True,True,1.0,1.0,"Move the vase, picture frame, and candle from the living room table to the bedroom cabinet. Turn off the lamp."
1637,B,1,True,True,1.0,1.0,"Move the kettle, teapot, jug, and cup from the dining table to the kitchen counter. Let's fill the kettle and teapot with water."
1646,A,0,True,True,1.0,1.0,"Move the doll, toy animal, and toy airplane from the couch to the table. Dust them because they are dirty."
1655,A,0,True,True,1.0,1.0,Move bowls from the kitchen cabinet to the living room table and clean the living room table.
1656,A,0,True,True,1.0,1.0,Move plates from the kitchen cabinet to the living room table and clean the living room table.
1662,B,1,True,True,0.0,0.8,"Move the jug, kettle, and cup from the dining table to the kitchen and fill the kettle with water. Let's clean the dining table while we're at it."
1663,A,0,True,True,0.0,0.0,"Move the toy food, toy fire truck, and stuffed toy from the bedroom to the garage. Clean the bedroom table, and turn off the lamp."
1664,B,1,True,True,1.0,1.0,"Move the book, folder, and pencil case from the office to the bedroom. Clean the office table, and turn on the lamp."
1673,B,1,True,True,1.0,1.0,"Move the cup, bowl, and plate from the bedroom table to the kitchen counter, and clean the bedroom table."
1674,A,0,True,True,1.0,1.0,"Move the fork, knife, and spoon from the dining room table to the kitchen counter, and clean the dining room table."
1682,B,1,True,True,1.0,1.0,"Move the toy animal, toy pineapple, and toy airplane from the couch in the living room to the table. Dust them because they are dirty."
1683,A,0,True,True,1.0,1.0,Move the stuffed toy and toy swing from the couch in the bedroom to the table. Clean the couch.
