model,split,condition,n,success_reported,success_json_tolerant,success_official_strict,reported_convention,official_method,row_file,source_files
72B,id,ours,924,0.7803,0.7803,0.7803,simulator_solved,identity: SOLVED == official acc_reward on planner plan,results/paper_viki_iclr2027/rows/figure2/ours/qwen2.5-vl-72b-instruct/id.jsonl,results/viki_memory_experiments/amendment11/v3_ours_72B_id.jsonl
72B,id,tom,924,0.0249,0.0249,0.0249,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/tom/qwen2.5-vl-72b-instruct/id.jsonl,results/paper_viki_iclr2027/raw/figure2_tom/qwen2.5-vl-72b-instruct/id/rows.jsonl
72B,id,zero_shot,924,0.0281,0.0281,0.0281,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/zero_shot/qwen2.5-vl-72b-instruct/id.jsonl,results/viki_memory_experiments/amendment8b/zero_shot.jsonl
72B,id,trajectory_rag,924,0.0671,0.0671,0.0206,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/trajectory_rag/qwen2.5-vl-72b-instruct/id.jsonl,results/viki_memory_experiments/amendment8b/trajectory_rag.jsonl
72B,id,g_memory,924,0.5097,0.5097,0.0985,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/g_memory/qwen2.5-vl-72b-instruct/id.jsonl,results/viki_memory_experiments/amendment8b/gmemory.jsonl
72B,id,memento_style,924,0.1991,0.1991,0.1991,json_tolerant,recomputed: viki_bench.score_response(official viki_2) on raw_output,results/paper_viki_iclr2027/rows/figure2/memento_style/qwen2.5-vl-72b-instruct/id.jsonl,results/viki_memory_experiments/amendment11/memento_id.jsonl
72B,ood_single_family,ours,924,0.5422,0.5422,0.5422,simulator_solved,identity: SOLVED == official acc_reward on planner plan,results/paper_viki_iclr2027/rows/figure2/ours/qwen2.5-vl-72b-instruct/ood_single_family.jsonl,results/viki_memory_experiments/amendment11/v3_fold_72B_clear_table_with_two_robots_and_put_in_cabinet.jsonl;results/viki_memory_experiments/amendment11/v3_fold_72B_cut_fruit_on_board.jsonl;results/viki_memory_experiments/amendment11/v3_fold_72B_cut_two_fruits_on_board.jsonl;results/viki_memory_experiments/amendment11/v3_fold_72B_dog_push_box_for_two_panda_transport.jsonl;results/viki_memory_experiments/amendment11/v3_fold_72B_ensure_all_fruits_on_table.jsonl;results/viki_memory_experiments/amendment11/v3_fold_72B_parallel_human_dual_asset_to_plate_or_bowl.jsonl;results/viki_memory_experiments/amendment11/v3_fold_72B_set_plate_and_fork_on_table.jsonl;results/viki_memory_experiments/amendment11/v3_fold_72B_toast_bread_and_set_plate.jsonl
72B,ood_single_family,tom,924,0.0271,0.0271,0.0271,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/tom/qwen2.5-vl-72b-instruct/ood_single_family.jsonl,results/paper_viki_iclr2027/raw/figure2_tom/qwen2.5-vl-72b-instruct/ood_single_family/rows.jsonl
72B,ood_single_family,zero_shot,924,0.0346,0.0346,0.0346,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/zero_shot/qwen2.5-vl-72b-instruct/ood_single_family.jsonl,results/viki_memory_experiments/amendment8b/folds/clear_table_with_two_robots_and_put_in_cabinet/zero_shot.jsonl;results/viki_memory_experiments/amendment8b/folds/cut_fruit_on_board/zero_shot.jsonl;results/viki_memory_experiments/amendment8b/folds/cut_two_fruits_on_board/zero_shot.jsonl;results/viki_memory_experiments/amendment8b/folds/dog_push_box_for_two_panda_transport/zero_shot.jsonl;results/viki_memory_experiments/amendment8b/folds/ensure_all_fruits_on_table/zero_shot.jsonl;results/viki_memory_experiments/amendment8b/folds/parallel_human_dual_asset_to_plate_or_bowl/zero_shot.jsonl;results/viki_memory_experiments/amendment8b/folds/set_plate_and_fork_on_table/zero_shot.jsonl;results/viki_memory_experiments/amendment8b/folds/toast_bread_and_set_plate/zero_shot.jsonl
72B,ood_single_family,trajectory_rag,924,0.0325,0.0325,0.0206,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/trajectory_rag/qwen2.5-vl-72b-instruct/ood_single_family.jsonl,results/viki_memory_experiments/amendment8b/folds/clear_table_with_two_robots_and_put_in_cabinet/trajectory_rag.jsonl;results/viki_memory_experiments/amendment8b/folds/cut_fruit_on_board/trajectory_rag.jsonl;results/viki_memory_experiments/amendment8b/folds/cut_two_fruits_on_board/trajectory_rag.jsonl;results/viki_memory_experiments/amendment8b/folds/dog_push_box_for_two_panda_transport/trajectory_rag.jsonl;results/viki_memory_experiments/amendment8b/folds/ensure_all_fruits_on_table/trajectory_rag.jsonl;results/viki_memory_experiments/amendment8b/folds/parallel_human_dual_asset_to_plate_or_bowl/trajectory_rag.jsonl;results/viki_memory_experiments/amendment8b/folds/set_plate_and_fork_on_table/trajectory_rag.jsonl;results/viki_memory_experiments/amendment8b/folds/toast_bread_and_set_plate/trajectory_rag.jsonl
